Station_ID,City,Date,Vehicle_Type,Charging_Start_Time,Charging_End_Time,Energy_Consumed_kWh,Cost_INR,Payment_Method,Session_Duration_Min,Day,Month,Year,Day_of_Week,Weekend,Hour,Time_Slot,Revenue_Category,Session_hours,Cost_per_kWh,Weekend_Label
ST001,Kolkata,2025-10-15,Car,12:14:00,13:57:00,96.2,962.0,UPI,103.0,15,October,2025,Wednesday,False,12,Afternoon,High,1.72,10.0,Weekday
ST002,Pune,2025-10-15,Bus,15:27:00,17:26:00,59.2,592.0,UPI,119.0,15,October,2025,Wednesday,False,15,Afternoon,Medium,1.98,10.0,Weekday
ST003,Hyderabad,2025-10-15,Car,11:29:00,12:08:00,59.8,598.0,Cash,39.0,15,October,2025,Wednesday,False,11,Morning,Medium,0.65,10.0,Weekday
ST004,Indore,2025-10-15,Bus,10:12:00,11:45:00,38.3,383.0,Cash,93.0,15,October,2025,Wednesday,False,10,Morning,Medium,1.55,10.0,Weekday
ST005,Indore,2025-10-15,Car,10:19:00,11:03:00,48.9,489.0,Card,44.0,15,October,2025,Wednesday,False,10,Morning,Medium,0.73,10.0,Weekday
ST006,Hyderabad,2025-10-15,Truck,08:21:00,09:40:00,95.6,956.0,UPI,79.0,15,October,2025,Wednesday,False,8,Morning,High,1.32,10.0,Weekday
ST007,Delhi,2025-10-15,Truck,06:04:00,08:44:00,77.9,779.0,Card,160.0,15,October,2025,Wednesday,False,6,Morning,High,2.67,10.0,Weekday
ST008,Indore,2025-10-15,Bike,09:48:00,11:27:00,62.2,622.0,Card,99.0,15,October,2025,Wednesday,False,9,Morning,Medium,1.65,10.0,Weekday
ST009,Jaipur,2025-10-15,Car,17:13:00,19:04:00,29.3,293.0,UPI,111.0,15,October,2025,Wednesday,False,17,Evening,Low,1.85,10.0,Weekday
ST010,Pune,2025-10-15,Bus,20:38:00,23:36:00,35.1,351.0,UPI,178.0,15,October,2025,Wednesday,False,20,Evening,Low,2.97,10.0,Weekday
ST011,Chennai,2025-10-15,Truck,18:18:00,18:54:00,3.2,32.0,UPI,36.0,15,October,2025,Wednesday,False,18,Evening,Low,0.6,10.0,Weekday
ST012,Kolkata,2025-10-15,Bus,14:05:00,15:44:00,69.9,699.0,Cash,99.0,15,October,2025,Wednesday,False,14,Afternoon,High,1.65,10.0,Weekday
ST013,Hyderabad,2025-10-15,Car,07:37:00,10:10:00,85.8,858.0,Card,153.0,15,October,2025,Wednesday,False,7,Morning,High,2.55,10.0,Weekday
ST014,Mumbai,2025-10-15,Bike,07:57:00,09:27:00,77.4,774.0,UPI,90.0,15,October,2025,Wednesday,False,7,Morning,High,1.5,10.0,Weekday
ST015,Pune,2025-10-15,Bus,06:09:00,07:20:00,58.3,583.0,UPI,71.0,15,October,2025,Wednesday,False,6,Morning,Medium,1.18,10.0,Weekday
ST016,Bhopal,2025-10-15,Bus,16:05:00,18:35:00,81.1,811.0,UPI,150.0,15,October,2025,Wednesday,False,16,Afternoon,High,2.5,10.0,Weekday
ST017,Jaipur,2025-10-15,Car,12:45:00,15:29:00,55.9,559.0,UPI,164.0,15,October,2025,Wednesday,False,12,Afternoon,Medium,2.73,10.0,Weekday
