Station_ID,City,Date,Vehicle_Type,Charging_Start_Time,Charging_End_Time,Energy_Consumed_kWh,Cost_INR,Payment_Method,Session_Duration_Min,Day,Month,Year,Day_of_Week,Weekend,Hour,Time_Slot,Revenue_Category
ST001,Kolkata,2025-10-15,Car,1900-01-01 12:14:00,1900-01-01 13:57:00,96.2,962.0,UPI,103.0,15,October,2025,Wednesday,False,12,Afternoon,High
ST002,Pune,2025-10-15,Bus,1900-01-01 15:27:00,1900-01-01 17:26:00,59.2,592.0,UPI,119.0,15,October,2025,Wednesday,False,15,Afternoon,Medium
ST003,Hyderabad,2025-10-15,Car,1900-01-01 11:29:00,1900-01-01 12:08:00,59.8,598.0,Cash,39.0,15,October,2025,Wednesday,False,11,Morning,Medium
ST004,Indore,2025-10-15,Bus,1900-01-01 10:12:00,1900-01-01 11:45:00,38.3,383.0,Cash,93.0,15,October,2025,Wednesday,False,10,Morning,Medium
ST005,Indore,2025-10-15,Car,1900-01-01 10:19:00,1900-01-01 11:03:00,48.9,489.0,Card,44.0,15,October,2025,Wednesday,False,10,Morning,Medium
ST006,Hyderabad,2025-10-15,Truck,1900-01-01 08:21:00,1900-01-01 09:40:00,95.6,956.0,UPI,79.0,15,October,2025,Wednesday,False,8,Morning,High
ST007,Delhi,2025-10-15,Truck,1900-01-01 06:04:00,1900-01-01 08:44:00,77.9,779.0,Card,160.0,15,October,2025,Wednesday,False,6,Morning,High
ST008,Indore,2025-10-15,Bike,1900-01-01 09:48:00,1900-01-01 11:27:00,62.2,622.0,Card,99.0,15,October,2025,Wednesday,False,9,Morning,Medium
ST009,Jaipur,2025-10-15,Car,1900-01-01 17:13:00,1900-01-01 19:04:00,29.3,293.0,UPI,111.0,15,October,2025,Wednesday,False,17,Evening,Low
ST010,Pune,2025-10-15,Bus,1900-01-01 20:38:00,1900-01-01 23:36:00,35.1,351.0,UPI,178.0,15,October,2025,Wednesday,False,20,Evening,Low
ST011,Chennai,2025-10-15,Truck,1900-01-01 18:18:00,1900-01-01 18:54:00,3.2,32.0,UPI,36.0,15,October,2025,Wednesday,False,18,Evening,Low
